8.92462e-06,3.9e-05,592,1.63121e-07,0.207871,76.5887,-21.5332
4.18052e-05,0.000163,554,3.41612e-06,0.275349,135.832,-21.5332
5.54488e-05,0.000163,139,2.71748e-06,0.388388,203.672,-21.5332
0.0112003,0.080357,305,0.256906,66.0617,12566.3,-21.5332
0.0146045,0.080357,520,0.179906,220.717,68525.2,473.73
0.0122585,0.059722,399,0,209.945,36277.2,86.1328
0.0220048,0.138463,192,0.683905,125.557,13422.6,193.799
0.0836942,0.282879,80,13.354,380,27627.7,215.332
0.114036,0.282879,69,12.2868,388.922,50715.5,215.332
0.108844,0.280739,79,0,282.594,57926.3,215.332
0.105751,0.268948,75,0,217.806,53104,215.332
0.11016,0.264592,76,1.94959,235.695,62750.3,215.332
0.116484,0.264592,81,2.93531,458.236,51172.7,215.332
0.121189,0.262706,55,2.29045,356.077,41563.6,236.865
0.140107,0.256141,23,10.1234,354.108,17816.7,64.5996
0.147568,0.256141,22,4.39597,150.483,12798,150.732
0.106655,0.242889,109,0,147.773,11363.6,86.1328
0.0575984,0.242223,484,0,527.727,128545,258.398
0.0660267,0.257484,746,2.13389,616.601,327674,236.865
0.0691217,0.257484,683,0.856663,638.326,266735,258.398
0.0608472,0.21302,656,0,472.69,262173,258.398
0.0429697,0.200032,654,0,485.087,170267,129.199
0.0220196,0.11061,449,0,429.547,36412.1,21.5332
0.0851823,0.326662,150,13.8674,351.369,23843.1,215.332
0.121894,0.326662,52,15.5692,546.701,62391.6,409.131
0.119825,0.354725,61,0,530.062,77502.9,602.93
0.114351,0.354725,52,0,335.666,58711.4,387.598
0.113239,0.27049,50,0,246.962,41326.8,387.598
0.0933646,0.257435,116,0,219.472,47288.1,193.799
0.0603439,0.204828,341,0,511.43,128267,193.799
0.0418678,0.17228,550,0,465.221,180043,172.266
0.0338092,0.131594,577,0,408.092,135658,236.865
0.0369402,0.162842,412,0.453656,304.555,74173.7,172.266
0.0677735,0.212892,159,6.61233,505.707,36212.2,193.799
0.0822049,0.212892,57,4.43268,327.975,41759.9,193.799
0.0796921,0.189937,48,0,275.038,37581.4,172.266
0.0818716,0.184094,30,0.721169,204.786,18891,172.266
0.0831295,0.163235,21,0.425088,141.557,8234.6,86.1328
0.0812268,0.151099,17,0,35.3402,6419.8,64.5996
0.0674867,0.148093,60,0,173.634,15739.3,172.266
0.0411656,0.148093,112,0,230.836,18168.3,193.799
0.0155406,0.136482,139,0,220.012,3753.24,0
0.0207379,0.103304,127,0.386148,73.3291,12051.1,172.266
0.0338053,0.137379,87,1.45968,149.226,21264,236.865
0.0828766,0.319658,81,11.7263,325.542,47820.1,172.266
0.109509,0.319658,71,10.4931,377.243,64199.3,172.266
0.0899939,0.237672,122,0,425.996,64024.8,172.266
0.059204,0.179815,319,0,545.281,137862,150.732
0.0474678,0.195594,556,0,399.877,190681,150.732
0.0341866,0.195594,678,0,396.977,145450,150.732
0.0136068,0.103021,478,0,367.181,25980.2,43.0664
0.0302795,0.147236,151,1.49853,200.495,20926.8,172.266
0.0613777,0.200162,41,5.83755,264.187,24432.4,150.732
0.055811,0.200162,27,0,212.804,11352.4,150.732
0.0160889,0.052024,25,0,186.989,1586.65,64.5996
0.00297977,0.014543,77,0,35.8333,446.282,-21.5332
